month,Month,Year,INR1
April,Apr,2005,43.68714286
May,May,2005,43.4515
June,Jun,2005,43.55454545
July,Jul,2005,43.48333333
August,,2005,43.57181818
September,Sep,2005,43.86909091
October,Oct,2005,44.79238095
November,Nov,2005,45.66409091
December,Dec,2005,45.621
January,Jan,,44.21904762
February,Feb,2006,44.259
March,Mar,2006,44.3626087
April,Apr,2006,44.83444444
May,May,2006,###
June,Jun,2006,45.91454545
July,Jul,2006,46.36761905
August,Aug,2006,46.46863636
September,Sep,2006,46.00666667
October,Oct,2006,45.38545455
November,Nov,2006,44.74818182
December,Dec,2006,44.51421053
January,Jan,2007,44.20727273
February,Feb,2007,44.0205
March,Mar,2007,43.78681818
April,Apr,2007,41.89894737
May,May,2007,40.61571429
June,Jun,2007,40.58428571
July,Jul,2007,40.30636364
August,Aug,2007,40.665
September,Sep,2007,40.189
October,Oct,2007,39.3873913
November,Nov,2007,39.35454545
December,Dec,2007,39.37052632
January,Jan,2008,39.26181818
February,Feb,2008,39.66571429
March,Mar,2008,40.18368421
April,Apr,2008,39.99090909
